fase,ordem,funcao,status,entrada_obrigatoria,saida_esperada,sla,evidencia,responsavel_execucao,responsavel_aprovacao,ultima_atualizacao,observacoes
IMPLEMENTACAO,1,Cadastro,Concluido,"Dados cadastrais + plano de contas + fornecedores classificados",Cadastro ativo e consistente,D0,"Checklist de cadastro + log de validacao",Admin,Admin,2026-03-06 13:12 BRT,"Assumido como concluido para fase operacional; confirmar evidencias"
IMPLEMENTACAO,2,Riscos,Aguardando validacao,"Relato do projeto + contexto financeiro/operacional","Matriz de riscos priorizada",D0-D2,"Matriz de riscos versionada",Admin,"Admin/Negocio",2026-03-06 13:12 BRT,"Necessario anexar versao final da matriz"
IMPLEMENTACAO,3,Upload Base Historica,Concluido,"Faturamento/CAP/CAR/extratos/estoques/carteira/borderos",Base historica normalizada,D1-D3,"Log de carga + conciliacao",Admin,Admin,2026-03-06 13:12 BRT,"Confirmar log de carga"
IMPLEMENTACAO,4,Analise Base Historica,Aguardando validacao,"Base historica validada + matriz de riscos",Diagnostico + alertas + plano,D2-D5,Relatorio versionado,Admin,"Head/Diretoria",2026-03-06 13:12 BRT,"Pendente aprovacao final"
IMPLEMENTACAO,5,Validacao do Diagnostico,Nao iniciado,Diagnostico preliminar,Diagnostico oficial aprovado,"D5 + trimestral",Aprovacao formal,Admin,Diretoria,2026-03-06 13:12 BRT,"Agendar janela com diretoria"
OPERACAO DIARIA,1,Upload Base Diaria,Em execucao,"CAP/CAR/extratos/faturamento",Base diaria validada,"D+0 10:00","Log de carga + inconsistencias","Consultor/Head",Head,2026-03-06 13:12 BRT,"Aguardando entrada de dados do dia"
OPERACAO DIARIA,2,Painel de Risco,Nao iniciado,"Base diaria + retorno FIDC + vencimentos",Painel de risco publicado,"D+0 11:00",Snapshot do painel,"Consultor/Head",Head,2026-03-06 13:12 BRT,"Depende da conclusao do upload diario"
OPERACAO DIARIA,3,Movimento Diario,Nao iniciado,"Pagamentos/recebimentos + fluxo 15 dias + painel","Decisao operacional registrada","D+0 14:00","Registro decisorio + impacto","Consultor/Head","Head/Paulo",2026-03-06 13:12 BRT,"Depende do painel atualizado"
OPERACAO DIARIA,4,Validacao Movimento Diario,Nao iniciado,Decisoes do dia,Resumo diario enviado,"Fim do expediente",Relatorio enviado,"Consultor/Head",Head,2026-03-06 13:12 BRT,"Executar apos movimento diario"
FECHAMENTO,1,Alimentacao Contabil,Nao iniciado,Base operacional diaria,Base preparada para fechamento,Diario,"Log de alimentacao",Sistema,Consultor,2026-03-06 13:12 BRT,"Ativar rotina automatica diaria"
FECHAMENTO,2,Fechamento Mensal,Nao iniciado,Base do mes,Pacote de fechamento,"1o dia util 12:00",Pacote versionado,"Sistema/Consultor",Head,2026-03-06 13:12 BRT,"Fora da janela hoje"
FECHAMENTO,3,Validacao do Fechamento,Nao iniciado,Pacote de fechamento,Fechamento aprovado,"1o dia util 17:00",Aprovacao + envio,"Consultor/Head","Head/Diretoria",2026-03-06 13:12 BRT,"Fora da janela hoje"
FECHAMENTO,4,Monitoramento Diretoria,Nao iniciado,Indicadores consolidados,Dashboard atualizado,Diario,Timestamp no dashboard,Sistema,Diretoria,2026-03-06 13:12 BRT,"Ativar apos pipeline diario"
