fase,ordem,funcao,status,entrada_obrigatoria,saida_esperada,sla,evidencia,responsavel_execucao,responsavel_aprovacao,ultima_atualizacao,observacoes
IMPLEMENTACAO,1,Cadastro,Nao iniciado,"Dados cadastrais + plano de contas + fornecedores classificados",Cadastro ativo e consistente,D0,"Checklist de cadastro + log de validacao",Admin,Admin,,
IMPLEMENTACAO,2,Riscos,Nao iniciado,"Relato do projeto + contexto financeiro/operacional","Matriz de riscos priorizada",D0-D2,"Matriz de riscos versionada",Admin,"Admin/Negocio",,
IMPLEMENTACAO,3,Upload Base Historica,Nao iniciado,"Faturamento/CAP/CAR/extratos/estoques/carteira/borderos",Base historica normalizada,D1-D3,"Log de carga + conciliacao",Admin,Admin,,
IMPLEMENTACAO,4,Analise Base Historica,Nao iniciado,"Base historica validada + matriz de riscos",Diagnostico + alertas + plano,D2-D5,Relatorio versionado,Admin,"Head/Diretoria",,
IMPLEMENTACAO,5,Validacao do Diagnostico,Nao iniciado,Diagnostico preliminar,Diagnostico oficial aprovado,"D5 + trimestral",Aprovacao formal,Admin,Diretoria,,
OPERACAO DIARIA,1,Upload Base Diaria,Nao iniciado,"CAP/CAR/extratos/faturamento",Base diaria validada,"D+0 10:00","Log de carga + inconsistencias","Consultor/Head",Head,,
OPERACAO DIARIA,2,Painel de Risco,Nao iniciado,"Base diaria + retorno FIDC + vencimentos",Painel de risco publicado,"D+0 11:00",Snapshot do painel,"Consultor/Head",Head,,
OPERACAO DIARIA,3,Movimento Diario,Nao iniciado,"Pagamentos/recebimentos + fluxo 15 dias + painel","Decisao operacional registrada","D+0 14:00","Registro decisorio + impacto","Consultor/Head","Head/Paulo",,
OPERACAO DIARIA,4,Validacao Movimento Diario,Nao iniciado,Decisoes do dia,Resumo diario enviado,"Fim do expediente",Relatorio enviado,"Consultor/Head",Head,,
FECHAMENTO,1,Alimentacao Contabil,Nao iniciado,Base operacional diaria,Base preparada para fechamento,Diario,"Log de alimentacao",Sistema,Consultor,,
FECHAMENTO,2,Fechamento Mensal,Nao iniciado,Base do mes,Pacote de fechamento,"1o dia util 12:00",Pacote versionado,"Sistema/Consultor",Head,,
FECHAMENTO,3,Validacao do Fechamento,Nao iniciado,Pacote de fechamento,Fechamento aprovado,"1o dia util 17:00",Aprovacao + envio,"Consultor/Head","Head/Diretoria",,
FECHAMENTO,4,Monitoramento Diretoria,Nao iniciado,Indicadores consolidados,Dashboard atualizado,Diario,Timestamp no dashboard,Sistema,Diretoria,,
